Broad_Industrial_Group,Travelling_Time,Travelling_Time_Number,Persons_at_work_2016_VALUE,Percentage_change_of_persons_at_work_2011_2016,Broad_Industrial_Group_Recoded
Education (P),1 hour - < 1½ hours,60,10512,24.9,17
Education (P),1½ hours and over,90,3532,27.5,17
Human health and social work activities (Q),< ¼ hour,1,51899,2.7,18
Human health and social work activities (Q),¼ hour - < ½ hour,15,74028,10.8,18
Human health and social work activities (Q),½ hour - < ¾ hour,30,49177,18.1,18
Human health and social work activities (Q),¾ hour - < 1 hour,45,17475,22.9,18
Human health and social work activities (Q),1 hour - < 1½ hours,60,14429,34.6,18
Human health and social work activities (Q),1½ hours and over,90,4341,30.9,18
"Arts, entertainment and recreation (R)",< ¼ hour,1,8493,5.3,19
"Arts, entertainment and recreation (R)",¼ hour - < ½ hour,15,9565,5.8,19
"Arts, entertainment and recreation (R)",½ hour - < ¾ hour,30,6112,9.5,19
"Arts, entertainment and recreation (R)",¾ hour - < 1 hour,45,2129,17,19
"Arts, entertainment and recreation (R)",1 hour - < 1½ hours,60,2266,32.1,19
"Arts, entertainment and recreation (R)",1½ hours and over,90,932,34.3,19
Other service activities (S),< ¼ hour,1,12384,2.9,20
Other service activities (S),¼ hour - < ½ hour,15,11995,9,20
Other service activities (S),½ hour - < ¾ hour,30,7116,8.7,20
Other service activities (S),¾ hour - < 1 hour,45,2166,4.2,20
Other service activities (S),1 hour - < 1½ hours,60,2103,13.4,20
Other service activities (S),1½ hours and over,90,676,21.2,20
Activities of households as employers producing activities of households for own use (T),< ¼ hour,1,445,25,21
Activities of households as employers producing activities of households for own use (T),¼ hour - < ½ hour,15,500,40.9,21
Activities of households as employers producing activities of households for own use (T),½ hour - < ¾ hour,30,293,45.8,21
Activities of households as employers producing activities of households for own use (T),¾ hour - < 1 hour,45,95,86.3,21
Activities of households as employers producing activities of households for own use (T),1 hour - < 1½ hours,60,91,33.8,21
Activities of households as employers producing activities of households for own use (T),1½ hours and over,90,14,-6.7,21
Activities of extraterritorial organisations and bodies (U),< ¼ hour,1,97,-34.9,22
Activities of extraterritorial organisations and bodies (U),¼ hour - < ½ hour,15,175,-16.3,22
Activities of extraterritorial organisations and bodies (U),½ hour - < ¾ hour,30,181,6.5,22
Activities of extraterritorial organisations and bodies (U),¾ hour - < 1 hour,45,86,19.4,22
Activities of extraterritorial organisations and bodies (U),1 hour - < 1½ hours,60,99,37.5,22
Activities of extraterritorial organisations and bodies (U),1½ hours and over,90,30,0,22
Industry not stated,< ¼ hour,1,16789,27.4,23
Industry not stated,¼ hour - < ½ hour,15,19896,28.4,23
Industry not stated,½ hour - < ¾ hour,30,16484,36.8,23
Industry not stated,¾ hour - < 1 hour,45,4542,42.1,23
Industry not stated,1 hour - < 1½ hours,60,6206,61.6,23
Industry not stated,1½ hours and over,90,2550,67.5,23
