Broad Industrial Group,Travelling Time,CensusYear,Statistic Label,UNIT,VALUE
Manufacturing (C),Total time travelling,2016,Persons at work 2016,Number,193741
Manufacturing (C),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,9.1
Manufacturing (C),< ¼ hour,2016,Persons at work 2011,Number,47146
Manufacturing (C),< ¼ hour,2016,Persons at work 2016,Number,48163
Manufacturing (C),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,2.2
Manufacturing (C),¼ hour - < ½ hour,2016,Persons at work 2011,Number,61564
Manufacturing (C),¼ hour - < ½ hour,2016,Persons at work 2016,Number,65629
Manufacturing (C),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,6.6
Manufacturing (C),½ hour - < ¾ hour,2016,Persons at work 2011,Number,37197
Manufacturing (C),½ hour - < ¾ hour,2016,Persons at work 2016,Number,42344
Manufacturing (C),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,13.8
Manufacturing (C),¾ hour - < 1 hour,2016,Persons at work 2011,Number,12433
Manufacturing (C),¾ hour - < 1 hour,2016,Persons at work 2016,Number,14609
Manufacturing (C),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,17.5
Manufacturing (C),1 hour - < 1½ hours,2016,Persons at work 2011,Number,9941
Manufacturing (C),1 hour - < 1½ hours,2016,Persons at work 2016,Number,12594
Manufacturing (C),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,26.7
Manufacturing (C),1½ hours and over,2016,Persons at work 2011,Number,3549
Manufacturing (C),1½ hours and over,2016,Persons at work 2016,Number,4325
Manufacturing (C),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,21.9
Manufacturing (C),Not stated,2016,Persons at work 2011,Number,5802
Manufacturing (C),Not stated,2016,Persons at work 2016,Number,6077
Manufacturing (C),Not stated,2016,Percentage change of persons at work 2011-2016,%,4.7
"Electricity, gas, steam and air conditioning supply (D)",Total time travelling,2016,Persons at work 2011,Number,10841
"Electricity, gas, steam and air conditioning supply (D)",Total time travelling,2016,Persons at work 2016,Number,12426
"Electricity, gas, steam and air conditioning supply (D)",Total time travelling,2016,Percentage change of persons at work 2011-2016,%,14.6
"Electricity, gas, steam and air conditioning supply (D)",< ¼ hour,2016,Persons at work 2011,Number,1476
"Electricity, gas, steam and air conditioning supply (D)",< ¼ hour,2016,Persons at work 2016,Number,1500
"Electricity, gas, steam and air conditioning supply (D)",< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,1.6
"Electricity, gas, steam and air conditioning supply (D)",¼ hour - < ½ hour,2016,Persons at work 2011,Number,3205
"Electricity, gas, steam and air conditioning supply (D)",¼ hour - < ½ hour,2016,Persons at work 2016,Number,3360
"Electricity, gas, steam and air conditioning supply (D)",¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,4.8
"Electricity, gas, steam and air conditioning supply (D)",½ hour - < ¾ hour,2016,Persons at work 2011,Number,2939
"Electricity, gas, steam and air conditioning supply (D)",½ hour - < ¾ hour,2016,Persons at work 2016,Number,3303
"Electricity, gas, steam and air conditioning supply (D)",½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,12.4
"Electricity, gas, steam and air conditioning supply (D)",¾ hour - < 1 hour,2016,Persons at work 2011,Number,1184
"Electricity, gas, steam and air conditioning supply (D)",¾ hour - < 1 hour,2016,Persons at work 2016,Number,1447
"Electricity, gas, steam and air conditioning supply (D)",¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,22.2
"Electricity, gas, steam and air conditioning supply (D)",1 hour - < 1½ hours,2016,Persons at work 2011,Number,1211
"Electricity, gas, steam and air conditioning supply (D)",1 hour - < 1½ hours,2016,Persons at work 2016,Number,1645
"Electricity, gas, steam and air conditioning supply (D)",1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,35.8
"Electricity, gas, steam and air conditioning supply (D)",1½ hours and over,2016,Persons at work 2011,Number,467
"Electricity, gas, steam and air conditioning supply (D)",1½ hours and over,2016,Persons at work 2016,Number,712
"Electricity, gas, steam and air conditioning supply (D)",1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,52.5
"Electricity, gas, steam and air conditioning supply (D)",Not stated,2016,Persons at work 2011,Number,359
"Electricity, gas, steam and air conditioning supply (D)",Not stated,2016,Persons at work 2016,Number,459
"Electricity, gas, steam and air conditioning supply (D)",Not stated,2016,Percentage change of persons at work 2011-2016,%,27.9
"Water supply; sewerage, waste management and remediation activities (E)",Total time travelling,2016,Persons at work 2011,Number,9218
"Water supply; sewerage, waste management and remediation activities (E)",Total time travelling,2016,Persons at work 2016,Number,9965
"Water supply; sewerage, waste management and remediation activities (E)",Total time travelling,2016,Percentage change of persons at work 2011-2016,%,8.1
"Water supply; sewerage, waste management and remediation activities (E)",< ¼ hour,2016,Persons at work 2011,Number,2256
"Water supply; sewerage, waste management and remediation activities (E)",< ¼ hour,2016,Persons at work 2016,Number,2194
"Water supply; sewerage, waste management and remediation activities (E)",< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-2.8
"Water supply; sewerage, waste management and remediation activities (E)",¼ hour - < ½ hour,2016,Persons at work 2011,Number,3054
"Water supply; sewerage, waste management and remediation activities (E)",¼ hour - < ½ hour,2016,Persons at work 2016,Number,2998
"Water supply; sewerage, waste management and remediation activities (E)",¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,-1.8
"Water supply; sewerage, waste management and remediation activities (E)",½ hour - < ¾ hour,2016,Persons at work 2011,Number,2003
"Water supply; sewerage, waste management and remediation activities (E)",½ hour - < ¾ hour,2016,Persons at work 2016,Number,2215
"Water supply; sewerage, waste management and remediation activities (E)",½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,10.6
"Water supply; sewerage, waste management and remediation activities (E)",¾ hour - < 1 hour,2016,Persons at work 2011,Number,606
"Water supply; sewerage, waste management and remediation activities (E)",¾ hour - < 1 hour,2016,Persons at work 2016,Number,798
"Water supply; sewerage, waste management and remediation activities (E)",¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,31.7
"Water supply; sewerage, waste management and remediation activities (E)",1 hour - < 1½ hours,2016,Persons at work 2011,Number,639
"Water supply; sewerage, waste management and remediation activities (E)",1 hour - < 1½ hours,2016,Persons at work 2016,Number,917
"Water supply; sewerage, waste management and remediation activities (E)",1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,43.5
"Water supply; sewerage, waste management and remediation activities (E)",1½ hours and over,2016,Persons at work 2011,Number,250
"Water supply; sewerage, waste management and remediation activities (E)",1½ hours and over,2016,Persons at work 2016,Number,395
"Water supply; sewerage, waste management and remediation activities (E)",1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,58
"Water supply; sewerage, waste management and remediation activities (E)",Not stated,2016,Persons at work 2011,Number,410
"Water supply; sewerage, waste management and remediation activities (E)",Not stated,2016,Persons at work 2016,Number,448
"Water supply; sewerage, waste management and remediation activities (E)",Not stated,2016,Percentage change of persons at work 2011-2016,%,9.3
Construction (F),Total time travelling,2016,Persons at work 2011,Number,83997
Construction (F),Total time travelling,2016,Persons at work 2016,Number,97568
Construction (F),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,16.2
Construction (F),< ¼ hour,2016,Persons at work 2011,Number,11512
Construction (F),< ¼ hour,2016,Persons at work 2016,Number,11176
Construction (F),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-2.9
Construction (F),¼ hour - < ½ hour,2016,Persons at work 2011,Number,19637
Construction (F),¼ hour - < ½ hour,2016,Persons at work 2016,Number,19724
Construction (F),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,0.4
Construction (F),½ hour - < ¾ hour,2016,Persons at work 2011,Number,23225
Construction (F),½ hour - < ¾ hour,2016,Persons at work 2016,Number,26325
Construction (F),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,13.4
Construction (F),¾ hour - < 1 hour,2016,Persons at work 2011,Number,6191
Construction (F),¾ hour - < 1 hour,2016,Persons at work 2016,Number,8067
Construction (F),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,30.3
Construction (F),1 hour - < 1½ hours,2016,Persons at work 2011,Number,10603
Construction (F),1 hour - < 1½ hours,2016,Persons at work 2016,Number,16035
Construction (F),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,51.2
Construction (F),1½ hours and over,2016,Persons at work 2011,Number,4663
Construction (F),1½ hours and over,2016,Persons at work 2016,Number,7578
Construction (F),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,62.5
Construction (F),Not stated,2016,Persons at work 2011,Number,8166
Construction (F),Not stated,2016,Persons at work 2016,Number,8663
Construction (F),Not stated,2016,Percentage change of persons at work 2011-2016,%,6.1
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Total time travelling,2016,Persons at work 2011,Number,254428
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Total time travelling,2016,Persons at work 2016,Number,258026
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,1.4
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),< ¼ hour,2016,Persons at work 2011,Number,83672
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),< ¼ hour,2016,Persons at work 2016,Number,80505
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-3.8
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),¼ hour - < ½ hour,2016,Persons at work 2011,Number,84705
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),¼ hour - < ½ hour,2016,Persons at work 2016,Number,84010
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,-0.8
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),½ hour - < ¾ hour,2016,Persons at work 2011,Number,46169
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),½ hour - < ¾ hour,2016,Persons at work 2016,Number,49204
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,6.6
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),¾ hour - < 1 hour,2016,Persons at work 2011,Number,14406
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),¾ hour - < 1 hour,2016,Persons at work 2016,Number,15376
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,6.7
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1 hour - < 1½ hours,2016,Persons at work 2011,Number,12100
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1 hour - < 1½ hours,2016,Persons at work 2016,Number,14527
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,20.1
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1½ hours and over,2016,Persons at work 2011,Number,4081
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1½ hours and over,2016,Persons at work 2016,Number,4803
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,17.7
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Not stated,2016,Persons at work 2011,Number,9295
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Not stated,2016,Persons at work 2016,Number,9601
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Not stated,2016,Percentage change of persons at work 2011-2016,%,3.3
Transportation and storage (H),Total time travelling,2016,Persons at work 2011,Number,75070
Transportation and storage (H),Total time travelling,2016,Persons at work 2016,Number,77965
Transportation and storage (H),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,3.9
Transportation and storage (H),< ¼ hour,2016,Persons at work 2011,Number,19165
Transportation and storage (H),< ¼ hour,2016,Persons at work 2016,Number,18279
Transportation and storage (H),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-4.6
Transportation and storage (H),¼ hour - < ½ hour,2016,Persons at work 2011,Number,22685
Transportation and storage (H),¼ hour - < ½ hour,2016,Persons at work 2016,Number,24569
Transportation and storage (H),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,8.3
Transportation and storage (H),½ hour - < ¾ hour,2016,Persons at work 2011,Number,14554
Transportation and storage (H),½ hour - < ¾ hour,2016,Persons at work 2016,Number,16372
Transportation and storage (H),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,12.5
Transportation and storage (H),¾ hour - < 1 hour,2016,Persons at work 2011,Number,4722
Transportation and storage (H),¾ hour - < 1 hour,2016,Persons at work 2016,Number,5235
Transportation and storage (H),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,10.9
Transportation and storage (H),1 hour - < 1½ hours,2016,Persons at work 2011,Number,4287
Transportation and storage (H),1 hour - < 1½ hours,2016,Persons at work 2016,Number,5106
Transportation and storage (H),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,19.1
Transportation and storage (H),1½ hours and over,2016,Persons at work 2011,Number,1864
Transportation and storage (H),1½ hours and over,2016,Persons at work 2016,Number,2254
Transportation and storage (H),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,20.9
Transportation and storage (H),Not stated,2016,Persons at work 2011,Number,7793
Transportation and storage (H),Not stated,2016,Persons at work 2016,Number,6150
Transportation and storage (H),Not stated,2016,Percentage change of persons at work 2011-2016,%,-21.1
Accommodation and food service activities (I),Total time travelling,2016,Persons at work 2011,Number,98858
Accommodation and food service activities (I),Total time travelling,2016,Persons at work 2016,Number,112350
Accommodation and food service activities (I),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,13.7
Accommodation and food service activities (I),< ¼ hour,2016,Persons at work 2011,Number,38501
Accommodation and food service activities (I),< ¼ hour,2016,Persons at work 2016,Number,40566
Accommodation and food service activities (I),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,5.4
Accommodation and food service activities (I),¼ hour - < ½ hour,2016,Persons at work 2011,Number,31991
Accommodation and food service activities (I),¼ hour - < ½ hour,2016,Persons at work 2016,Number,36242
Accommodation and food service activities (I),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,13.3
Accommodation and food service activities (I),½ hour - < ¾ hour,2016,Persons at work 2011,Number,15230
Accommodation and food service activities (I),½ hour - < ¾ hour,2016,Persons at work 2016,Number,18991
Accommodation and food service activities (I),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,24.7
Accommodation and food service activities (I),¾ hour - < 1 hour,2016,Persons at work 2011,Number,4255
Accommodation and food service activities (I),¾ hour - < 1 hour,2016,Persons at work 2016,Number,5260
Accommodation and food service activities (I),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,23.6
Accommodation and food service activities (I),1 hour - < 1½ hours,2016,Persons at work 2011,Number,3468
Accommodation and food service activities (I),1 hour - < 1½ hours,2016,Persons at work 2016,Number,4771
Accommodation and food service activities (I),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,37.6
Accommodation and food service activities (I),1½ hours and over,2016,Persons at work 2011,Number,1088
Accommodation and food service activities (I),1½ hours and over,2016,Persons at work 2016,Number,1464
Accommodation and food service activities (I),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,34.6
Accommodation and food service activities (I),Not stated,2016,Persons at work 2011,Number,4325
Accommodation and food service activities (I),Not stated,2016,Persons at work 2016,Number,5056
Accommodation and food service activities (I),Not stated,2016,Percentage change of persons at work 2011-2016,%,16.9
Information and communication (J),Total time travelling,2016,Persons at work 2011,Number,62849
Information and communication (J),Total time travelling,2016,Persons at work 2016,Number,82166
Information and communication (J),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,30.7
Information and communication (J),< ¼ hour,2016,Persons at work 2011,Number,9527
Information and communication (J),< ¼ hour,2016,Persons at work 2016,Number,10748
Information and communication (J),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,12.8
Information and communication (J),¼ hour - < ½ hour,2016,Persons at work 2011,Number,18613
Information and communication (J),¼ hour - < ½ hour,2016,Persons at work 2016,Number,23175
Information and communication (J),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,24.5
Information and communication (J),½ hour - < ¾ hour,2016,Persons at work 2011,Number,16660
Information and communication (J),½ hour - < ¾ hour,2016,Persons at work 2016,Number,21911
Information and communication (J),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,31.5
Information and communication (J),¾ hour - < 1 hour,2016,Persons at work 2011,Number,6945
Information and communication (J),¾ hour - < 1 hour,2016,Persons at work 2016,Number,9883
Information and communication (J),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,42.3
Information and communication (J),1 hour - < 1½ hours,2016,Persons at work 2011,Number,6724
Information and communication (J),1 hour - < 1½ hours,2016,Persons at work 2016,Number,10315
Information and communication (J),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,53.4
Information and communication (J),1½ hours and over,2016,Persons at work 2011,Number,2592
Information and communication (J),1½ hours and over,2016,Persons at work 2016,Number,3878
Information and communication (J),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,49.6
Information and communication (J),Not stated,2016,Persons at work 2011,Number,1788
Information and communication (J),Not stated,2016,Persons at work 2016,Number,2256
Information and communication (J),Not stated,2016,Percentage change of persons at work 2011-2016,%,26.2
Financial and insurance activities (K),Total time travelling,2016,Persons at work 2011,Number,90027
Financial and insurance activities (K),Total time travelling,2016,Persons at work 2016,Number,87662
Financial and insurance activities (K),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,-2.6
Financial and insurance activities (K),< ¼ hour,2016,Persons at work 2011,Number,11665
Financial and insurance activities (K),< ¼ hour,2016,Persons at work 2016,Number,9985
Financial and insurance activities (K),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-14.4
Financial and insurance activities (K),¼ hour - < ½ hour,2016,Persons at work 2011,Number,24436
Financial and insurance activities (K),¼ hour - < ½ hour,2016,Persons at work 2016,Number,22162
Financial and insurance activities (K),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,-9.3
Financial and insurance activities (K),½ hour - < ¾ hour,2016,Persons at work 2011,Number,24627
Financial and insurance activities (K),½ hour - < ¾ hour,2016,Persons at work 2016,Number,23581
Financial and insurance activities (K),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,-4.3
Financial and insurance activities (K),¾ hour - < 1 hour,2016,Persons at work 2011,Number,12491
Financial and insurance activities (K),¾ hour - < 1 hour,2016,Persons at work 2016,Number,12582
Financial and insurance activities (K),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,0.7
Financial and insurance activities (K),1 hour - < 1½ hours,2016,Persons at work 2011,Number,11668
Financial and insurance activities (K),1 hour - < 1½ hours,2016,Persons at work 2016,Number,13523
Financial and insurance activities (K),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,15.9
Financial and insurance activities (K),1½ hours and over,2016,Persons at work 2011,Number,3581
Financial and insurance activities (K),1½ hours and over,2016,Persons at work 2016,Number,4187
Financial and insurance activities (K),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,16.9
Financial and insurance activities (K),Not stated,2016,Persons at work 2011,Number,1559
Financial and insurance activities (K),Not stated,2016,Persons at work 2016,Number,1642
Financial and insurance activities (K),Not stated,2016,Percentage change of persons at work 2011-2016,%,5.3
Real estate activities (L),Total time travelling,2016,Persons at work 2011,Number,7725
Real estate activities (L),Total time travelling,2016,Persons at work 2016,Number,8136
Real estate activities (L),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,5.3
Real estate activities (L),< ¼ hour,2016,Persons at work 2011,Number,2211
Real estate activities (L),< ¼ hour,2016,Persons at work 2016,Number,2057
Real estate activities (L),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-7
Real estate activities (L),¼ hour - < ½ hour,2016,Persons at work 2011,Number,2273
Real estate activities (L),¼ hour - < ½ hour,2016,Persons at work 2016,Number,2322
Real estate activities (L),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,2.2
Real estate activities (L),½ hour - < ¾ hour,2016,Persons at work 2011,Number,1632
Real estate activities (L),½ hour - < ¾ hour,2016,Persons at work 2016,Number,1768
Real estate activities (L),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,8.3
Real estate activities (L),¾ hour - < 1 hour,2016,Persons at work 2011,Number,591
Real estate activities (L),¾ hour - < 1 hour,2016,Persons at work 2016,Number,671
Real estate activities (L),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,13.5
Real estate activities (L),1 hour - < 1½ hours,2016,Persons at work 2011,Number,580
Real estate activities (L),1 hour - < 1½ hours,2016,Persons at work 2016,Number,739
Real estate activities (L),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,27.4
Real estate activities (L),1½ hours and over,2016,Persons at work 2011,Number,135
Real estate activities (L),1½ hours and over,2016,Persons at work 2016,Number,209
Real estate activities (L),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,54.8
Real estate activities (L),Not stated,2016,Persons at work 2011,Number,303
Real estate activities (L),Not stated,2016,Persons at work 2016,Number,370
Real estate activities (L),Not stated,2016,Percentage change of persons at work 2011-2016,%,22.1
"Professional, scientific and technical activities (M)",Total time travelling,2016,Persons at work 2011,Number,84403
"Professional, scientific and technical activities (M)",Total time travelling,2016,Persons at work 2016,Number,102226
"Professional, scientific and technical activities (M)",Total time travelling,2016,Percentage change of persons at work 2011-2016,%,21.1
"Professional, scientific and technical activities (M)",< ¼ hour,2016,Persons at work 2011,Number,16411
"Professional, scientific and technical activities (M)",< ¼ hour,2016,Persons at work 2016,Number,17167
"Professional, scientific and technical activities (M)",< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,4.6
"Professional, scientific and technical activities (M)",¼ hour - < ½ hour,2016,Persons at work 2011,Number,25180
"Professional, scientific and technical activities (M)",¼ hour - < ½ hour,2016,Persons at work 2016,Number,29164
"Professional, scientific and technical activities (M)",¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,15.8
"Professional, scientific and technical activities (M)",½ hour - < ¾ hour,2016,Persons at work 2011,Number,20444
"Professional, scientific and technical activities (M)",½ hour - < ¾ hour,2016,Persons at work 2016,Number,25229
"Professional, scientific and technical activities (M)",½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,23.4
"Professional, scientific and technical activities (M)",¾ hour - < 1 hour,2016,Persons at work 2011,Number,8465
"Professional, scientific and technical activities (M)",¾ hour - < 1 hour,2016,Persons at work 2016,Number,11048
"Professional, scientific and technical activities (M)",¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,30.5
"Professional, scientific and technical activities (M)",1 hour - < 1½ hours,2016,Persons at work 2011,Number,8154
"Professional, scientific and technical activities (M)",1 hour - < 1½ hours,2016,Persons at work 2016,Number,11930
"Professional, scientific and technical activities (M)",1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,46.3
"Professional, scientific and technical activities (M)",1½ hours and over,2016,Persons at work 2011,Number,2830
"Professional, scientific and technical activities (M)",1½ hours and over,2016,Persons at work 2016,Number,4283
